"pid","iddblp"
"88/4691",941003
"35/5873",941003
"88/4691",1405771
"35/5873",1405771
"80/5412",1848189
"35/1228",1848189
"86/1498",2282820
"08/312",2282820
"50/2644-1",2670368
"36/4181",2670368
"84/271",3022286
"54/6443",3022286
"58/2283",4234457
"87/2048",4234457
z/ZhiHuaZhou,5206469
w/TakashiWashio,5206469
"92/3998",3346775
"35/6703",3346775
"71/5859",3949402
"83/5560-1",3949402
"193/1937",285041
"87/3534",285041
"210/4490",285041
"123/8631",285041
"38/3836",285041
"35/6703",1606221
"88/4691",1606221
"35/6703",1606222
"50/2644",1606222
"35/1228",2035060
"54/6443",2035060
"83/3865",2137851
"16/4945",2137851
"222/5351",2137851
"138/2691",2137851
"53/2940",2137851
"78/6168",2137851
"86/1498",2439561
"92/3998",2439561
"199/2211",2506734
"217/0915",2506734
"75/4629",2506734
"223/5494",2506747
"04/1262-2",2506747
"92/3998",2806444
"35/6703",2806444
"75/4117",2806444
"65/8284",2806444
"35/1228",2806444
z/ZhiHuaZhou,2806444
"83/3865",2892471
"16/4945",2892471
"11/803",2892471
"67/2343",2892471
"82/5574",2892471
"93/11468",4366710
"32/9056",4366710
c/KrishnenduChakrabarty,4366710
"55/816",4366710
h/StevenCHHoi,4501117
"72/3885",4501117
h/ChunNanHsu,4752549
"86/1498",4752549
"35/1228",4985692
"82/6362-1",4985692
"38/5514",4502583
"33/339",4502583
"02/1783",4502584
"57/5913",4502584
"75/107",4502584
"93/347",4502584
"95/6915",4502585
f/GeraldFriedland,4502585
"75/107",4502585
"61/6698",5207780
"38/5514",5207780
"33/339",5207780
"02/1783",4236115
"57/5913",4236115
"75/107",4236115
"95/6915",4236116
f/GeraldFriedland,4236116
"50/6594",4236116
"25/5545",4236118
"98/428",4236118
"75/1281",4236118
"23/588",4236118
"32/5543",4236119
"80/6216",4236119
v/JaccovanOssenbruggen,4236119
"50/613",4236120
"59/4268",4236120
h/AlexanderGHauptmann,4236120
"00/6451-7",4236121
"24/6606",4236121
j/RameshJain,4236121
p/AlexPentland,4236121
"75/1281",4502586
"98/428",4502586
"23/588",4502586
"32/5543",4502587
"80/6216",4502587
v/JaccovanOssenbruggen,4502587
"25/5545",4754008
"98/428",4754008
"75/1281",4754008
"23/588",4754008
"51/1293",5207782
"78/1467-1",5207782
s/JohnRSmith,5207782
"57/3775",5207782
"36/6096",2284853
"31/6643",2284853
"60/2410",2284853
g/ValerieGouetBrunet,2284856
"182/4721",2284856
"32/7029-2",2284856
"153/1030",2284856
b/SusanneBoll,2672320
"17/4029",2672320
"25/5545",2672320
"97/6308-1",2672320
"77/5360",2672320
"29/4638",2672320
l/RainerLienhart,2672320
"12/5444-1",2672320
"36/6096",3348521
"31/6643",3348521
"60/2410",3348521
"52/6277",4236112
"70/1173-1",4236112
"68/4000",4236112
"24/3310-1",4236112
"59/3310",4236112
"54/4934",4236113
"00/2794",4236113
"96/3322",4236113
"37/119",4236113
p/MajaPantic,4236113
"71/5426",4236114
"07/3918",4236114
"26/3763",4236114
"05/315",4236117
"12/3417",4236117
"60/5261",4236117
"33/5060",4236117
"131/4728",4236117
"03/6828",4236122
"45/736",4236122
"98/3115",4236122
"51/3003",4236122
"52/6277",4987064
"24/3310-1",4987064
"70/1173-1",4987064
"61/5017",4987064
"12/2882",4987064
"12/6781",4987064
n/MarkSNixon,4987064
"56/4499-1",4987064
g/NDGeorganas,6386436
p/RaduPopescuZeletin,6386436
c/TcChiueh,6386436
k/WolfgangKlas,6386436
z/AidongZhang,6386436
"63/4674",6603550
"82/725",6603550
"47/4242",6603550
"321/4687",6603551
"83/2435",6603551
"53/154",6603551
"06/1887",450117
"12/5444",450117
c/RitaCucchiara,450117
"70/1173-1",450117
"359/4187",450117
"81/478",450117
"66/5574",450117
"08/1790",942961
b/AlbertoDelBimbo,942961
"50/290",942961
"20/3519",942961
"22/10486",942961
"47/2670",942961
o/VincentOria,942961
"81/7871",942961
g/ValerieGouetBrunet,942970
"205/3984",942970
"59/3954",942970
"17/5993",943621
"11/103",943621
"92/654",943621
"04/4211",4234642
"76/2198",4234642
r/EARundensteiner,4234642
"04/4211",4501300
"76/2198",4501300
l/WLehner,4501300
"04/4211",4752709
"76/2198",4752709
m/VMarkl,4752709
"04/4211",4985841
"76/2198",4985841
m/RJMiller,4985841
"20/3716",943622
s/TimosKSellis,943622
b/PhilipABernstein,1408353
"10/760",1408353
"38/8707",1850824
h/KatjaHose,1850824
b/IlariaBartolini,2285603
l/FeifeiLi,2285603
"97/3301",2673078
s/ASdaSilva,2673078
c/PeterChristen,3024860
k/BettinaKemme,3024860
r/ERahm,3024860
g/TorstenGrust,3349305
