"pid","name","rank","nombre_art"
"35/5873",Ivor W. Tsang,2,390
"80/5412",Sinno Jialin Pan,1,152
"78/1467-1",Qi Tian 0001,22,1069
"08/312",Taiji Suzuki,1,190
"50/2644-1",Jun Zhu 0001,1,516
"36/4181",Ichiro Takeuchi,1,158
"84/271",Min-Ling Zhang,1,149
"58/2283",Cheng Soon Ong,1,89
"87/2048",Tu Bao Ho,1,175
w/TakashiWashio,Takashi Washio,1,185
s/JohnRSmith,John R. Smith,22,256
"71/5859",Dinh Q. Phung,1,425
"83/5560-1",Hang Li 0001,55,200
"193/1937",Tianming Ni,1,78
"87/3534",Fei Li,1,683
"210/4490",Qingsong Peng,1,6
"123/8631",Senling Wang,1,26
"38/3836",Xiaoqing Wen,1,228
"88/4691",Vineeth N. Balasubramanian,3,219
"50/2644",Jun Zhu,1,387
f/GeraldFriedland,Gerald Friedland,44,189
"54/6443",Yung-Kyun Noh,2,45
"57/3775",Rahul Sukthankar,22,193
"222/5351",Florent Cilici,1,5
"138/2691",Estelle Lauga,1,18
"53/2940",Sylvain Bourdel,1,75
"78/6168",Salvador Mir,1,141
"199/2211",Prabuddha Chakraborty,1,30
"217/0915",Jonathan Cruz 0001,1,25
"75/4629",Swarup Bhunia,1,342
"223/5494",Haihan Su,1,3
"04/1262-2",Jiliang Zhang 0002,1,96
"92/3998",Robert J. Durrant,3,22
"35/6703",Kee-Eung Kim,4,110
"51/3003",Doug Williams,22,30
"65/8284",Stephen R. Marsland,1,97
"31/6643",Giovanni Maria Farinella,44,309
z/ZhiHuaZhou,Zhi-Hua Zhou,2,672
"83/3865",Manuel J. Barragan Asian,2,78
"16/4945",Gildas Léger,2,48
"11/803",Antonio J. Ginés,1,43
"67/2343",Eduardo J. Peralías,1,65
"82/5574",Adoración Rueda,1,117
"93/11468",Fangming Ye,1,28
"32/9056",Zhaobo Zhang,1,60
c/KrishnenduChakrabarty,Krishnendu Chakrabarty,1,899
"55/816",Xinli Gu,1,71
h/StevenCHHoi,Steven C. H. Hoi,1,461
"72/3885",Wray L. Buntine,1,210
h/ChunNanHsu,Chun-Nan Hsu,1,109
"86/1498",Wee Sun Lee,3,198
"35/1228",Masashi Sugiyama,4,684
"82/6362-1",Qiang Yang 0001,23,704
"38/5514",Mutsuo Sano,44,39
"02/1783",Kuan-Ta Chen,44,160
"57/5913",Wei-Ta Chu,44,138
"75/107",Martha A. Larson,66,292
"61/6698",Michihiko Minoh,22,146
"93/347",Wei Tsang Ooi,22,158
"50/6594",Pascal Kelm,22,28
"95/6915",Liangliang Cao,44,182
"98/428",Caifeng Shan,66,144
"182/4721",Margarita Khokhlova,22,16
"59/4268",Jenny Benois-Pineau,22,229
h/AlexanderGHauptmann,Alex Hauptmann 0001,22,511
"00/6451-7",Vivek K. Singh 0001,22,104
"24/6606",Tat-Seng Chua,38,923
j/RameshJain,Ramesh C. Jain,22,510
p/AlexPentland,Alex Pentland,22,553
"23/588",Minoru Etoh,66,69
"75/4117",Geoff Holmes 0001,5,111
"32/7029-2",Liming Chen 0002,22,292
v/JaccovanOssenbruggen,Jacco van Ossenbruggen,44,126
"97/6308-1",Wenwu Zhu 0001,30,502
"50/613",Alexia Briassouli,22,69
"59/3310",Athanasios Voulodimos,22,133
"75/1281",Ling Shao 0001,66,902
"32/5543",Concetto Spampinato,44,212
"80/6216",Vasileios Mezaris,44,274
"153/1030",Sander Münster,22,56
b/SusanneBoll,Susanne Boll,22,405
"17/4029",Kyoung Mu Lee,22,336
"25/5545",Jiebo Luo,66,930
"51/1293",Rong Yan,22,169
"33/339",Ichiro Ide,44,220
"29/4638",Chang Wen Chen,22,527
l/RainerLienhart,Rainer Lienhart,22,195
"12/5444-1",Tao Mei 0001,22,624
"36/6096",Stavroula G. Mougiakakou,44,70
"60/2410",Keiji Yanai,44,215
"24/3310-1",Jordi Gonzàlez 0001,44,155
"03/6828",Pablo César,26,251
"77/5360",Hyeran Byun,22,179
"54/4934",Björn W. Schuller,22,1091
"00/2794",Michel F. Valstar,22,159
"96/3322",Roddy Cowie,22,80
"37/119",Jarek Krajewski,22,51
p/MajaPantic,Maja Pantic,22,476
"71/5426",Kiyoharu Aizawa,22,491
"07/3918",Yoko Yamakata,22,79
"26/3763",Takuya Funatomi,22,88
"05/315",Teresa Chambel,22,90
"12/3417",V. Michael Bove Jr.,22,54
"60/5261",Sharon Strover,22,25
"33/5060",Paula Viana,22,41
"131/4728",Graham Thomas,22,14
"45/736",Matthew Cooper 0002,22,76
"98/3115",David A. Shamma,30,143
"61/5017",Luc Van Gool,22,1549
"52/6277",Anastasios Doulamis,44,327
"68/4000",Nikolaos D. Doulamis,22,314
"12/2882",Nikolaos F. Matsatsinis,22,90
"12/6781",Thomas B. Moeslund,22,360
n/MarkSNixon,Mark S. Nixon,22,264
"56/4499-1",Liang Wang 0001,22,508
g/NDGeorganas,Nicolas D. Georganas,22,202
"70/1173-1",Marco Bertini 0001,66,208
k/WolfgangKlas,Wolfgang Klas,22,65
z/AidongZhang,Aidong Zhang,22,419
"63/4674",Jun Ohya,22,148
"82/725",Ryohei Nakatsu,22,190
"47/4242",Richard B. Reilly,22,98
"321/4687",Ryohei Nikatsu,22,1
"83/2435",Edward Altman,22,8
"53/154",Claudio S. Pinhanez,22,113
"06/1887",Abdulmotaleb El-Saddik,22,641
"12/5444",Tao Mei,22,37
c/RitaCucchiara,Rita Cucchiara,22,552
"359/4187",Diana Patricia Tobon Vallejo,22,1
"81/478",Pradeep K. Atrey,22,126
"66/5574",M. Shamim Hossain,22,347
"08/1790",João Magalhães,22,160
b/AlbertoDelBimbo,Alberto Del Bimbo,22,716
"50/290",Shin'ichi Satoh 0001,22,430
"20/3519",Nicu Sebe,22,754
"22/10486",Xavier Alameda-Pineda,22,161
"47/2670",Qin Jin,22,240
o/VincentOria,Vincent Oria,22,97
"81/7871",Laura Toni,22,113
"205/3984",Ronak Kosti,22,32
"59/3954",Li Weng,22,38
"76/2198",Umeshwar Dayal,55,271
"17/5993",Cinzia Cappiello,11,129
"11/103",Sandra Geisler,11,38
"92/654",Maria-Esther Vidal,11,296
m/StanMatwin,Stan Matwin,4,365
s/TimosKSellis,Timos K. Sellis,19,363
l/WLehner,Wolfgang Lehner,11,552
"56/4856",Pance Panov,4,49
m/VMarkl,Volker Markl,11,324
"04/4211",Malú Castellanos,44,100
k/BettinaKemme,Bettina Kemme,19,136
m/RJMiller,Renée J. Miller,11,166
"20/3716",Zhifeng Bao,11,194
g/JGama,João Gama 0001,19,431
b/PhilipABernstein,Philip A. Bernstein,11,216
"10/760",Tilmann Rabl,11,143
"38/8707",Ziawasch Abedjan,11,75
h/KatjaHose,Katja Hose,11,174
b/IlariaBartolini,Ilaria Bartolini,11,80
l/FeifeiLi,Feifei Li 0001,11,201
"97/3301",Senjuti Basu Roy,11,91
s/ASdaSilva,Altigran S. da Silva,11,159
c/PeterChristen,Peter Christen,11,201
r/ERahm,Erhard Rahm,11,308
g/TorstenGrust,Torsten Grust,11,86
k/KKarlapalem,Kamalakar Karlapalem,11,204
"58/4127",Andrew Pavlo,11,92
j/NJapkowicz,Nathalie Japkowicz,4,185
"18/6014",Dragi Kocev,4,99
f/JohannesFurnkranz,Johannes Fürnkranz,4,254
h/EykeHullermeier,Eyke Hüllermeier,4,491
"40/1614",Tomoyuki Higuchi,4,64
g/JGGanascia,Jean-Gabriel Ganascia,4,138
"93/5877",Philippe Lenca,4,77
p/JMPetit,Jean-Marc Petit,4,111
"81/653",Tapio Elomaa,4,69
h/JaakkoHollmen,Jaakko Hollmén,4,104
m/HMannila,Heikki Mannila,4,206
"10/140",Bernhard Pfahringer,4,220
m/ShinichiMorishita,Shinichi Morishita,4,74
r/EARundensteiner,Elke A. Rundensteiner,19,535
"71/1213",Vítor Santos Costa,4,200
"14/2530",Pavel Brazdil,4,104
b/JFBoulicaut,Jean-François Boulicaut,4,159
b/MRBerthold,Michael R. Berthold,4,139
"55/6464-1",Tamás Horváth 0001,4,73
"15/6998",Vincent Corruble,4,62
"35/1544",Masayuki Takeda,4,263
"150/5000",Andry Chowanda,4,14
"98/2565",Kazuhisa Miwa,4,86
l/NadaLavrac,Nada Lavrac,4,278
h/AchimGHoffmann,Achim G. Hoffmann,8,81
s/TobiasScheffer,Tobias Scheffer,4,129
s/EinoshinSuzuki,Einoshin Suzuki,8,157
"189/5727",Hanry Ham,4,3
"34/4912",Gunter Grieser,4,29
t/YuzuruTanaka,Yuzuru Tanaka,4,132
"24/5960",Akihiro Yamamoto,4,125
l/SteffenLange,Steffen Lange,4,90
s/KenSatoh,Ken Satoh,4,232
s/CarlHSmith,Carl H. Smith,4,118
"12/3262",Klaus P. Jantke,8,119
s/AyumiShinohara,Ayumi Shinohara,8,181
"51/1960",Koichi Furukawa,4,95
"08/6525",Hiroshi Motoda,8,211
"118/7758",Widodo Budiharto,4,49
"156/2099",Lili Ayu Wulandhari,4,14
"244/4472",Alexander Agung Santoso Gunawan,4,17
"236/9164",Meiliana,4,22
"193/4956",Dewi Suryani,4,5
"142/5285",Novita Hanafiah,4,3
d/SasoDzeroski,Saso Dzeroski,8,351
"02/2847",Ljupco Todorovski,12,95
"02/2647",Hitomi Saito,4,22
"70/6981",Setsuo Arikawa,24,90
"63/6215",Jan M. Zytkow,4,63
"61/5805",Tohru Araki,4,6
"50/5715",Toshihiko Iyemori,4,8
"61/6244",Masahito Nose,4,5
"08/1130",Takaaki Wada,4,1
"29/1367",Yoshifumi Futaana,4,2
"80/981",Genta Ueno,4,7
"38/3232",Toyohisa Kamei,4,1
"30/6075",Akiniro Saito,4,1
"03/3693",Jan Rauch,4,65
"20/412",Vladimir Pericliev,4,15
"226/7083",Mayalen Etcheverry,4,11
j/AlipioMarioJorge,Alípio Mário Jorge,15,218
p/RaduPopescuZeletin,Radu Popescu-Zeletin,22,81
c/TcChiueh,Tzi-cker Chiueh,22,258
"281/8812",Emilie Blotière,4,4
"319/4041",Leonie Disch,4,3
"152/8841",Gert Breitfuß,4,11
"236/0708",Drahomira Cupar,4,6
"29/604",Jadranka Stojanovski,4,10
"97/2733",Ana Carolina Lorena,4,110
"44/5234",Rita P. Ribeiro,4,69
"66/6482",Pedro H. Abreu,4,88
"01/6319",Minrui Fei,1,221
"89/3469",Shiwei Ma,1,55
"09/1365-36",Xin Li 0036,1,2
"20/3535-11",Xin Sun 0011,1,14
"46/1223",Li Jia,1,142
"67/4307",Zhou Su,1,329
"188/4002",Kang Li 0002,1,153
"120/4310",Yusheng Xue,1,38
"128/7662",Shumei Cui,1,34
"10/2066",Qun Niu,1,64
"120/1159",Zhile Yang,1,93
"125/6705",Patrick Chi-Kwong Luk,1,25
p/ElenaPaslaruBontasSimperl,Elena Simperl,4,289
"32/1523",Edith Law,4,83
w/JenniferWortman,Jennifer Wortman Vaughan,4,133
"26/5966",Naohiro Ishii,2,344
"130/0365",Ujwal Gadiraju,12,137
k/GabriellaKazai,Gabriella Kazai,30,128
"26/4300",Muhammad Younas 0001,2,208
"12/2920",Alessandro Bozzon,4,204
"85/9255",Matteo Venanzi,4,28
"05/3422",Gianluca Demartini,12,191
k/AdamTaumanKalai,Adam Tauman Kalai,4,157
"54/4241",Arpita Ghosh,4,91
"81/2837",Ju-Yeon Jo,2,49
"132/0987",Eduardo Vaz,1,3
"132/1070",Wayne Groszko,1,4
"82/2493",Ansar-Ul-Haque Yasar,8,202
"167/7768",Simon Poyser,1,1
"71/5934",Elhadi M. Shakshuki,14,271
"93/1852",Karim Djouani,2,177
s/QuanZSheng,Quan Z. Sheng,2,590
"17/5519",Mohamed F. Younis,2,316
h/LauraHollink,Laura Hollink,1,74
"68/225",Sándor Darányi,1,40
"129/9496",Albert Meroño-Peñuela,1,73
"26/5512",Efstratios Kontopoulos,1,68
"11/1185",Yeong-Tae Song,2,62
"86/4901",Alexander J. Quinn,4,25
w/CAWelty,Christopher A. Welty,4,131
"72/10821",Alessandro Checco,4,51
"48/1070",Albert Bifet,15,273
"45/5386",Steven Dow,12,137
"91/7572",Cristina Sarasua,4,30
"55/866",Jane Yung-jen Hsu,4,163
"89/453",Ming Yin,4,79
"36/3834",Ece Kamar,4,114
"33/6201",Kurt Luther,4,62
"34/4583",Elizabeth Gerber,4,85
"39/986",Panagiotis G. Ipeirotis,4,99
